name, address,number,Availability,BGroup
Rainbow Blood Bank,"3rd Floor, 282, Rainbow Diagnostic Services Central Bazar Road, Ramdas Peth, Nagpur",0712 6636666,YES,O+
"NKP Salve Institute of Medical Science and Research Center (Lata Mangeshkar Hospital), Blood Bank","5, YMCA Complex, Digdoh Hills, Hingna Road, Nagpur","07104 236290, 07104 236291, 07104 232905",YES,O+
Nandkishor Education Society Trust - Arpan Voluntary Blood Bank,Nagpur,,,O+
Dr. Shankarrao Chavan Government Medical College and Guru Govindsinghji Memorial Hospital Blood Bank,"Vazirabad, Nanded ","02462 235711, 02462 235712, 02462 234702",YES,O+
Indian Red Cross Society Blood Bank,"Parsi Anjuman Complex, Vazirabad, Nanded      ","02462 236699, 02462 231012, 02462 236633, 02462 227335",YES,O+
Golvalkar Guruji Blood Bank,"Plot No.2-12-407, Bandhaghat Road, Vazirabad, Nanded",02462 243300,,O+
Arpan Blood Bank,"2nd Floor, Dayma Complex, Doctor Lane, Ghamodia,Nanded","02462 241587, 02452 239587",,O+
Guru Gobindsinghji Blood Bank,"Geeta Bhavan 1 & 2 Floor, House No 3-1-366, Near Government, Opposite to Ayurvedic College, Bus Stand Road, Vazirabad, Nanded          ",02462 233332,YES,O+
Nanded Blood Bank,"Shivaji Nagar ,Opposite to Adhar Hospital, Nanded ",02462 233810,YES,O+
Hazur Saheb Blood Bank,"2nd Floor, Opposite to Bank of India, Sant Kripa Market, GG Road, Nanded ","02462 248888, 02462 239999",YES,O+
Civil Surgeon - District General Hospital Blood Bank,"Nandurbar, Railway Station Road Survey No.406, Civil Hospital Compound,  Sakri Road, Near Collector Office Nandurbar  ","02564 202510, 02564 210135, 02564 226225, 02564 210122",NO,O+
Sahada Blood Bank - Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha ,"C/o. 1st Floor, Shushrut Hospital, Khetiya Road, Survey 
No. 67/3, Plot No. 3, Sahada, Nandurbar",,NO,O+
Jankalyan Rakta Pedhi,"Nandurbar,1st Floor, Vivekanand Hospital, Desaipura, Nandurbar ","02564 226934, 02564 226935, 02564 222226 ",NO,O+
Malegaon Blood Bank,"2nd Floor, West End Complex, Satana Naka, Malegaon ",,YES,O+
Seva Blood Bank,"Nilkanth Building, Satana Naka, Satana Road, Malegaon, Nashik",02554 257077,YES,O+
Roachabai Sugnomal Manwani - Cantonment General Hospital Blood Bank,"Vadner Road, Devlali, Nashik","0253 2493365, 0253 24913377,  0253 2462068",,O+
Metro Blood Bank - District (Civil) Hospital Nashik,"District - Civil Hospital Blood Bank, Near Thakkar Bazaar,  Trimbak Naka, Nashik","0253 2318020, 0253 2577949",YES,O+
Sainik Aspatal Military Hospital Blood Bank,"Sainik Aspatal, Military Hospital, Deolali",,,O+
Ansar Blood Bank,"1398/1, Islampura, Industrial Society Compound, Quidwai Road, Malegaon, Nasik","02554 238383, 02554 230169, 02254 230039",NO,O+
Arpan Blood Bank and Blood Component Laboratory and Research Centre,"1st Floor, Office No.102/103, Dr. Athawale Chambers, Opposite to Gavkari Press Tilak Path, Nashik 
","0253 2311358, 0253 2576058",YES,O+
Jankalyan Blood Bank,"3, Shree Nagar, Old Gangapur Naka, Gangapur Road, Nashik
","0253 2573493, 0253 2575249",YES,O+
NDMVPS Medical College and Hospital Blood Bank,At Post Adgaon Dist Nashik ,"0253 2220522, 0253 2303930",YES,O+
Samta Blood Bank,"F-1, 1st Floor Suyojit Comercial Complex, Mumbai Agra Highway, Below Data Mastics, Mumbai Naka, Nashik 
","0253 2472499, 0253 2472599, 0253 2472699, 09975997867, 09975997863, 09975997864",YES,O+
Sanjeevani Blood Bank,"Nashik, Krushna-Chaya Bangla, Plot No. 10/11, Kurdukar Nagar, Behind Fame Theatre, Nashik Pune Road, Nashik ",0253 2411888  ,,O+
Jijau Mahila Sevabhavi Sansthan Nashik Blood Bank and Transfusion Research institute Blood Bank,"Ishwar Krupa Ganesh Nagar, Tidke Colony, Nashik ",0253 2232996,,O+
The Santajee Educational and Medical foundation Trust - Jeevan  Blood Bank ,"Suyojit City Center, G-11, 12, 13, S. No. 567/1/1 & 567/1/3 (CTS No. 7249 & FP No. 60) Mumbai Naka, Near Mahamarg Bus Stand, Nashik 
",7387348888,YES,O-
SMBT Institute of Medical Science and Research Centre - Blood Bank and Component,"SMBT Institute of Medical Science & Research Centre, Blood Bank & Component,  Block-101, Ground Floor, ‘A’ Wing, New SMBT Hospital Building, Survey No. 470, Nandihills Appt., At Post-Dhamangaon, Ghoti, Igatpuri, Nashik
",02553 222300,YES,O-
Hindustan Aeronautics Limited Blood Bank,"HAL, Aircraft Division, HAL, In Front of GES HAL High School, Ojhar Township, Niphad, Nashik
","02550 275845, 02550 278932 (Extn. 2589)",NO,O-
J.D.C. Bytco Hospital Blood Bank,"1st Floor, Bytco Hospital, Nashik Road, Behind Durga Garden, Shahu Path, Nashik","0253 2460251, 0253 24605352",NO,O-
Regional Referal Hospital Blood Bank,"Medical Superintendent, Regional Referal Hospital (Superspeciality Hospital) Blood Bank, Nashik",,,O-
Shri Krishna Blood Bank,"Dr. Patange Hospital Building, Ajay Nagar Omerga, Omerga,  Osmanabad  ","02457 252004, 02457 252232, 02457 252469",YES,O-
"Civil Surgeon, General Hospital Blood Bank","Civil Hospital Osmanabad, Tqand, Osmanabad ",02472 226924,YES,O-
Civil Surgeon - District General Hospital Blood Bank,"Blood Bank Civil Surgeon, District General Hospital Blood Bank, Subhash Road, Parbhani
","02452 223458, 02452 231287",YES,O-
Kanthak Sevabhavi Sanstha - New Life Blood  Bank,"Plot No 22, Survey No 389 and 394, Beside Gurudwara, Station Road, Parbhani ",02452 220222,YES,O-
Indian Red Cross Society Blood Bank,"Indian Red Cross Society (IRCS), (Late Manikbai Chandulal Saraf) Blood Bank, Near Government Silver Jubilee Hospital, Patas Road, Baramati, Pune",02112 222951,YES,O-
Pune Chest and General Hospital Blood Bank,"Aundh Cest Hospital, Aundh Camp, Pune","020 27285432, 020 27286458",NO,O-
Sasoon Sarvopchar Hospital Blood Bank,"Ground Floor, Section 5, Opposite to Central Medical Stores, Station Road, Pune","020 26126868, 020 24480431",YES,O-
Armed Forces Blood Bank,"Vanwadi Armed Force Medical College, Pune","020 26026038, 020 26306337",YES,O-
Jankalyan Raktapedhi Pune,"1003, Shukrawar Peth, Swargate - Saras Baugh Road, Near Natraj Hotel, Pune","020 24449527, 020 24444502",YES,O-
Inlaks Budharani Hospital Blood Bank,"7-9, Koregaon Park, Pune","020 66099999, 020 66099727, 020 66099703",YES,O-
Indian Serological Institute Blood Bank,"21, Anand Baugh, Navi Peth, Near Vaikunth, Pune","020 24535244, 020 24538453",YES,O-
Acharya Anandrushiji Blood Bank,"191-192, New Sadashiv Peth, S. M. Joshi Foundation Building, Near Patrakar Bhavan, Pune","020 24537627, 020 65250707, 020 24531600",YES,O-
Akshay Blood Bank,"Survey No.10/1/3, Unnati Nagar, Bantar High School, Hadapsar, Pune","020 26993247, 020 26993248,  ",YES,O-
Garware Blood Bank - Talegaon Rural Hospital,"Talegaon Dhabhade, Maval, Pune ","02114 223916, 02114 308399",YES,O-
Jehangir Hospital Blood Bank,"32, Sasoon Road, Pune ","020 66811722, 020 66811723,",YES,O-
KEM Hospital Blood Bank,"Sardar Moodliar Road, Rastha Peth, Pune","020 26125600, 020 66037324, 020 26125603",YES,O-
Grant Medical Foundation A.H. Wadia Trust Blood Bank,"40, Sassoon Road, Ruby Hall Clinic, Post Box No. 70, Pune","020 26166318, 020 66455264, 020 26163391",YES,O-
Bharati Vidyapeeth Medical Foundation Blood Bank,"Sector - 28, Dhankawadi, Pune Satara Road, Pune","020 40555555, 020 24379432",YES,O-
Padmashree Dr. D.Y. Patil (Vishweshwar) Blood Bank,"Padmashree, Dr. D. Y. Patil Medical College Hospital, Sant Tukaram Nagar, Pimpari, Pune","020 27423844, 020 27420439",YES,O-
Deenanath Mangeshkar Hospital Blood Bank,"Erandawane, Near Mhatre Bridge, Pune","020 26602307, 020 26602308, 020 26602313, 020 25420104",YES,O-
Poona Serological Institute Blood Bank,"C.T.S. No. 592, 3rd Floor, Dhanwantari Complex, Rasta Peth, Pune","020 26133387, 020 26141719, 020 27472876                     ",YES,O-
Sahiyadari Speciality Hospital Blood Bank,"Kokoan Mitra Mandal Medical Port Trust&#39;s Sahiyadari Speciality Hospital Blood Bank, Plot No-30 C, Erandvane, Karve Road, Pune ","020 25403232, 020 67213000",YES,O-
Aditya Birla Memorial Hospital Blood Bank,"Survey No:31, Near Morya Mangal Karyalay, Thergaon, Chinchwad, Pune ","020 30717690, 020 30717676",YES,O-
Rakesh Jain Memorial Blood Bank,"Poona Hospital and Reserch Centre 27, Sadashiv Peth, Pune  ","020 24331706, 020 66069000, 020 24338477",YES,O-
Noble Hospital Blood Bank,"B-007, Basement C/o. Noble Hospital, 153 Magarpatta City Road, Hadapsar, Pune  ","020 66285050, 020 66285199",YES,O-
Smt Kashibai Navale General Hospital Blood Bank,"Sr. No. 50/15 building NO.5 2nd Floor, Narhe, Ambegaon, Pune  ","020 241062299, 020 24699884, 020 24106274",YES,O-
Pimpari Serological Institute Blood Bank,"Esteem Tower, opposite K.S.B. Pump, Pune-Mumbai Highway, Kharalwadi, Pimpari ","020 27421179, 020 27427779",YES,O-
Chakan Blood Bank,"Sr. No. 4976/1/2 Gate No. 2401, Yashwantnagar Ambethan Road. A/P Chakan, Khed, Pune ",02135 202141,YES,O-
R.G Gholap Memorial Blood Bank,"Office No. 301, 3rd Floor Ashoka Centre, S. No - 47/14, Satara Road, Parvati, Pune","020 65402140, 9822442140, 8554942140",YES,O-
Kranti Mitra Mandal Charitable Trust Blood Bank,"1st Floor PMT Buiding Gadital, Hadapsar, Pune ","020 26992828, 020 64782828, 020 26993703",YES,O-
Krantiveer Chapekar Bandhu Blood Bank,"Pimpri Chinchwad Mahanagar Palika Talera Hospital, Tanaji Nagar Chinchwad, Pune  ","020 27610054, 020 27610042",YES,O-
The New Century Medical & Education Foundation Trust - NCORD Blood Bank & Aphaeresis Centre,"NCORD Blood Bank and Aphaeresis centre, S. No. 241/2/1, Geet Ganga Building, Medipoint Hospital Lane, Baner, Pune",020 46608585,YES,O-
Ekta Apang Vikas Sanstha Blood Bank,"Office No. 17/18/19, 1st Floor, Sunshree Woods Commercial Complex, NIBM, Kondhwa, Haveli, Pune",020 26855144,YES,O-
Chattrapati Shahu Maharaj Pratisthan,"S.No. 30, 4th floor, office no. 41, 402, 403, and 5th floor off 502, waris Heights, Pune-Satara Road, Dhankwadi, Pune",N/A,YES,O-
Chattrapati Shahu Maharaj Pratisthan Blood Bank,"S. No. 30, 4th Floor, Office No. 41, 402, 403, and 5th Floor off 502, Waris Heights, Pune - Satara Road, Dhankwadi, Pune",020 65267000,YES,O-
M/s. Vidyashree Charitable Trusts Om Blood Bank,Pune,,,O-
District Civil Surgeon Blood Bank,"District Hospital Blood Bank, Civil Hospital Campus, Sea Face Road, Alibag  ",02141 225734,YES,O-
Kakasaheb Chitle Memorial Centre Sanchalit - Jankalyan Blood Bank,"C.S. No. 1651, Near Lokmanya Vyayamshala, Shiwaji Chowk, Mahad, Raigad","02145 222604, 02145 225103, 02145 224807 ",NO,O-
M.B. More Foundation Blood Bank,"Ghar. No. 412, 1st Floor, Mangaon, Morba Road, Opposite to Civil Hospital, Mangaon, Raigad
",,NO,O-
Advanced Centre for Treatment Reasearch and Education in Cancer,"Owe Village, Sector 22, Plot No. 2, Kharghar, Navi Mumbai ",022 27405073,YES,O-
M/s. Navi Mumbai Blood Bank,"Navi Mumbai Blood Bank, Vishwanath Bhavan, C-87, Sector 12, Kharghar, Navi Mumbai",,YES,O-
Shree Sai Blood Bank & Component,"103,104,105,1st Floor Tirthraj Building, Old Thana Naka Road, Near Taluka Police Station,  Old Panvel, Raigad","022 27467856, 022 27450885, 022 27463796",YES,O-
Rotary Club New Panvel charitable Trust s Late Dr. B.V. Limaye Blood Bank,"Plot No-8, Sect.1, Khanda Colony, Mumbai Pune Road, New Panvel (W) ","022 27459322, 022 32092960",YES,O-
Civil Surgeon - General Hospital Blood Bank,"Civil Hospital, Ratnagiri",02352 225616,YES,O-
Shree Swami Samarth Blood Bank,"B.K.L.Walwalkar Hospital Diagnostic & Research Centre, Shree Kshetra Darvan, Chiplun, Ratnagiri","02355 264137, 02355 264149, 02355 264181            ",YES,O-
Indian Red Cross Society Blood Bank,"Khareghat Road, Ratnagiri","02352 223262, 02352 222347",YES,O-
Indian Red Cross Blood Bank,Ratnagiri,,YES,O-
Prakash Blood Bank & Blood Component Seperation Unit,"Prakash Shikshan Mandal&#39;s Prakash Hospital & Research Centre, Islampur Sangli Road, Uran - Islampur, Tal -Walwa, Dist- Sangli (Ms)
","02342 661212, 02342 661224",YES,O-
Padmabhushan Vasantdada Patil Government Hospital Blood Bank,"Padmabhushan Vasantdada Patil Government Hospital , Blood Bank, Dr. Ambedkar Road, Sangli .                                         
","0233 2374651, 0233 2374652, 0233 2374653, 0233 2374654, 0233 2374655",NO,O-
Rajaram Bapu Blood Bank,"Islampur C.S. No. 99/1, Near Islampur Spiral CT-Scan,
Peth-Sangli Road
",02342 224939,YES,O-
Vasantdada Patil Blood Bank and Haematology Research Centre,"AIP - Miraj, Mirasaheb Shopping Complex,  Opposite to City Police Station, Miraj, Sangli","0233 2229619, 0233 2222319",NO,O-
Miraj Medical Centre - Wanless Hospital Blood Bank,"Wanless Hospital Blood Bank, Medical Centre, Miraj","0233 2223291, 0233 2223292, 0233 2223293, 0233 2223294, 0233 2223295",YES,O-
Jeevan Rekha Charitable Trust Blood Bank,"H. No. 329/E, Ward No. 5, 1st Floor, Umrani Road, A/p-jath, Sangli
","02344 248000, 02344 248922",NO,O-
Smt. Anila Kantilal Kothari Blood Bank & Department of Hemato Oncology,"Dr. D. K. Gosavi Memorial, Shri Siddhivinayak Ganapati Cancer Hospital, Sangli - Miraj Road, Miraj","0233 2212155, 0233 2211601, 0233 2211602",YES,O-
Bharati Vidyapeeth University Medical college And Hospital Blood Bank,"A/p Wanlesswadi, Miraj 
","0233 2601594, 0233 2601593 (Extn. 266)",YES,O-
Hindratna Prakashbapu Patil Blood Bank,"2nd Floor, Siddhivinayak Commercial Complex Guest House, Miraj Road, Near Tata Petrol Pump, Sangli
",0233 2672233,YES,O-
Miraj Serological Institute Blood Bank,"S. No.795/A1, Dr. Bhalchandra Patil Hospital,  Zaribag Budhgaonkar Mala, Near Gulabrao Patil Medical College, Miraj 
","0233 6451819, 0233 2211400",YES,O-
Akshay Blood Bank,"Plot No. 1/7, Near Anand Nursing Home, 2nd Floor, Miraj Sangli Road,  Sangli","0233 2212448, 0233 2212449 ",YES,O-
Indian Red Cross Society Blood Bank - Shirgaonkar Blood Bank,"Opposite to Civil Hospital, Plot No. 49, City Survey No.601/7, Sangli","0233 2373044, 0233 2372376",YES,O-
Shree Basaveshwar Manav Vikas Gramin Sevabhavi Sanstha Blood Bank,"Arihant Galaxy, 1st Floor, C.S. NO- 1599, Opposite to Civil Hospital, Garpir Road, Sangli
","0233 6012777, 09604520087, 07798539069",YES,O-
Azad Panchi Group Charitable Trust Blood Bank,"Near Civil Hospital, Ganesh Nagar, 1st Lane, S. No. 1682, Sangli
",0233 2374333,YES,O-
S. S. Venutai Y. Chavan Sub-District Hospital Blood Bank Karad,"Plot No. 290/91, Budhwar Peth Station Road, Karad, Satara","02164 222459, 02164 221020",NO,O-
Civil Surgeon - Sarva Samanya Hospital Blood Bank,"Bazar Road, Satara","02162 238494, 02162 235640                ",NO,O-
Phaltan Medical Foundation Blood Bank,"C.T.S. No. 5604/6, Near Dnyaneshwar Mandir, Behind State Bank of India, Laxminagar, 1st Floor Phaltan, Satara","02166 221197, 02166 220897, 02166 220007 ",NO,O-
Krishna Hospital and Medical Research Centre Blood Bank Karad,"Poona Bangalore (NH 4) Highway, Near Debhewadi Road, Karad, Satara","02164 241456, 02164 242170",YES,O-
Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,"Shree Chatrapati Shivaji Education Societys, Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,  Vita Road, Vidyagiri, Mayani, Satatra","02161 270661, 02161 270761 (Extn. 303)",YES,O-
M/s. K. N. Gujar Blood Bank,"M/s K.N. Gujar Blood Bank, F. P. No. 21, 203/A/6, 1st Floor, K.N. Gujar Hospital, Shanivar Peth, Near S.T. Bus Stand, Karad, Satara",02164 222868 ,YES,O-
M/s. Balaji Blood Bank,"M/s. MA. NA. Shri R.R. (AABA) Patil Shikshan Sheti Sanshodhan Aani Vikas Sansthas  Balaji Blood Bank, C.S.No - 467/8 A 1b/45, Jaldhara Building 2nd Floor, Sadar Bazar, Satara - 415002
","02162 226995, 02162 226996 ",YES,O-
Akshay Blood Bank,"Akshay Medical Trust, Akshay Blood Bank, 506/22, Sadar Bazar, Near State Bank, Opposite to Nirmal Hotel, Satara","02162 230730, 02162 231731",YES,O-
Mauli Blood Bank Satara,"529/b,  Parasnis Colony, Near Hotel Monark, Powai Naka Sadar Bazar, Satara ","02162 222586, 02162 222031",NO,O-
Yashwantrao Chavan Blood Bank,"Phase 5, Super Market, 1st Floor Hall No. 2/1 Final Plot No. 432,433, Shaniwar Peth, Karad  ",02164 228122,YES,O-
Civil Surgeon - General Hospital Blood Bank,"Sindhudurg Oros, At Post - Oros, Kudal, Sindhudurga (Oros)",0236 2228902,YES,O-
"Cottage Hospital Blood Bank, Sawantwadi","Sub -District Cottage Hospital, Blood Bank, Sawantwadi, 
C-Sindhudurg",02363 275035,NO,O-
Dean Chatrapati Shivaji Maharaj Sarvopchar Hospital Blood Bank,"B-Block Ground Floor, Shri. Chatrapati Shivaji Maharaj Sarvopchar Hospital, Solapur, Maharashtra","0217 2310766, 0217 2749440",NO,AB+
Shri Markendya Charitable and Medical Trust Irrapanna N Boli Blood Bank,"Ashok Chowk, 896/97, Bhavnarishi Peth (Bolli Mangal Karayalaya 1 floor, Solapur","0217 2653829, 0217 2390144, 0217 2620348",YES,AB+
"Dr. Hegdewar Rakta Pedhi Sanstha, Solapur","1st Floor, Sahyadri Shopping Centre Railway Lines, Solapur","0217 2311215,  0217 2311281, 0217 2311215, 0217 2311281",YES,AB+
Solapur Blood Bank,"136, Railway Line, Near Railway Station, Near Atthar Hospital, Anjani Chembers,  Solapur","0217 2317242, 0217 2318028 ",,AB+
IMA - Sahakar Maharshi Shankarrao Mohite Patil Blood Bank,"804, Old Pandharpur Road, Ganeshnagar Akluj, Solapur","02185 222101, 02185 225601, 02185 222665, 02185 222166",YES,AB+
Akshay Blood Bank,"Survey No. 2212, First Floor, Laxmi Narayan Apartment, South Sadar Bazar, Solapur ","0217 2315025, 0217 26993247",,AB+
M. M. Patel Public Charitable Trust - Ashwini Rural Medical College and Hospital Blood Bank,"Kumbhari, Gat No. 261 and 262 , Akkalkot Road, Kumbhari, 
Tal.South Solapur. Dist. Solapur ","0217 2280891, 0217 2280897",YES,AB+
Athar Minorities Social and Welfare Associations - Athar Blood Bank,"1st Floor, 410 Shukrawar Peth, Jamiya Complex, Near Jama Masjid, Solapur",0217 2622999,YES,AB+
Indian Red Cross Soceity - Shriman Rambhai Shah Blood Bank,"Jawaharlal Hospital Compound, Shivaji Road, Barsi, Somwarpeth, Solapur",02184 222399,YES,AB+
Indian Red Cross Society - Smt. Gopabai Damani Blood Bank,"165 Railway Line, Red Cross Road, Dufferin Chowk, Solapur ","0217 2726858, 0217 2722106",YES,AB+
Indian Red Cross Society - Sarjubai Bansila Bajaj Blood Bank,"62/2/3/4, Bhakti Marg, Pandharpur, Solapur","02186 223650, 02186 222219",YES,AB+
SIDDHESHWAR BLOOD BANK,"Kalyani Towers, 126 Siddheshwar Peth, Near Yashwantrao Hospital Behind civil court, Solapur ",0217 2323222,YES,AB+
M/s Shrikamal Shikshan Prasarak Krida - Kala & Krushivikas Bahu Uddeshiya Samajsevi Mandals Sanjeevani Blood Bank,Solapur,,,AB+
Gor Banjara RSS Jankalyan Samiti - Seva Blood Bank,"Basement Puspadev Appartment, Near Sarvesh Hall Opposite to Manav Kalyan Kendra Dombivli ",0251 2442283,,AB+
"Dr. D.Y. Patil Hospital & Research Centre, Blood Bank","Nerul, Thane",,,AB+
Tarapur Atomic Power Station Hospital Blood Bank,"TAPS Hospital Blood Bank, TAPS 1&2 (Anushri) Township Near Boisar, Palghar ",02525 264001,NO,AB+
Vitthal Sayanna General Hospital (Civil Hospital) Blood Bank,"Civil Hospital, 1st Floor, Tembhi Naka, Thane (W)-400601
","022 25472582, 022 25471409, 022 25471409",YES,AB+
Central Hospital Blood Bank,"Ulhasnagar, Central Hospital, Nehru Chowk Road, Ulhasnagar","0251 2709432, 0251 2708730",YES,AB+
JVP Blood Bank and Transfusion Centre Blood Bank,"201, 213 Arenja Arcade Plot No. 4 Sec-17, Next to Apana Bazar, Vashi, Navi Mumbai","022 27894490, 022 67912094",YES,AB+
Sankalp Blood Bank,"Riddhi Siddhi, Opposite to ICICI Bank, Near Ramchandra Hall, Murbad Road Kalyan (W)","0251 2300096, 0251 2203974",YES,AB+
Jupiter Hospital Blood Bank,"Jupiter Hospital, Eastern Express Highway, Service Road, Near Voltas,  Naupada, Thane (W)  ","022 21725521, 022 21725555, 022 25853320",YES,AB+
Plasma Diagnostic Lab and Blood Bank,"Meghdoot, Building, Gopal Nagar, Hotel Janaki, Opposite to Manjunath School, Dombivali( E)","0251 2802491, 0251 2453568, 0251 2438078",YES,AB+
Vaidhya Blood Bank,"1st Floor. Satyam Apartment, M.G. Road, Jeevan Jyot Hospital, Near Naupada Police Station, Thane (W)","022 25380787, 022 25411773",YES,AB+
Mahatma Gandhi Mission Medical College and Hospital Blood Bank,"Plot No. 1 and 2, Sector-18, Kamothe, Navi Mumbai","022 27863483, 022 27427905, 022 27420320",YES,AB+
Navjeevan Blood Bank,"Gokhale Road, Naupada, Near Dr.Mhaskar&#39;s Hospital, Thane (W)","022 25400425, 022 25339495                ",YES,AB+
Sarla Blood Bank,"Ravi Hospital, 1st Floor, 50 Anand Nagar, Navghar Vasai (W)","0250 2332684, 0250 2349950, 0250 3256565, 0250 2332425",YES,AB+
Tssia Blood Bank,"Tssia House, Road No.P 26/T,Rd-16, Wagle Estate, Thane (W) ","022 25803263, 022 39410060, 022 25362283                       ",,AB+
Katiya Charitable Trusts Bhiwandi Blood Bank,"271, Second Floor, Al-Hera Complex, Teen Batti Bhiwandi, Thane","02522 258065, 02522 221858, 02522 251614 ",,AB+
Kai Wamanrao Oak Blood Bank,"Ghantali Mandir Road, Vishnu Nagar, Naupada, Thane","022 25385248, 022 25392440",YES,AB+
Blood Line Blood Bank,"Swargiya Dharmvir Anand Dighe Sankool, Tika No-10, Near Vikas Palm, Dr. Ambedkar Road, Thane (W) ","022 25374000, 022 25375000, 022 25376000",YES,AB+
Kalyan Dombivali Municipal Corporation Sponsored Nandakishore Education Society Arpan Blood Bank,"2nd Floor, Bai Rukhminibal Hospital, Kalyan (W) ",0251 3266322,YES,AB+
Smt. Devkaabai Kalyanji Chheda Amrutvahini Blood Bank,"Ashirwad Apartment, 2nd Floor,  Dshsnu (E), Thane ","02528 220478, 02528 220614",,AB+
Sanjeevan Blood Bank ,"1st Floor, Indravati Hospital, Sector-3, Airoli, Navi Mumbai ","022 27790286, 022 27790287, 022 27794582",,AB+
Vijayee Blood Bank,"Andrandes Bhavan 1st Floor, Plot No. 2, Sr. No 277-A, Behind Papdi Telephone Exchange, Near Sai Services,  Vasai (W) ","0250 2321050, 0250 6450250",,AB+
Mira Bhayandar Municipal Corporation Rajeev Gandhi Blood Bank,"C.S No.30/32 Poonam Sagar Complex, Near Allahabad Bank Mira Road (E), Thane",022 64510666,YES,AB+
"Maharashtra Blood Bank, Component and Apheresis Centre","C- Wing, 107/207, Kuldeep Arcade, Near Navli Railway Phatak, Station Road, Palghar (W), Thane ","02525 251102, 02525 253102",YES,AB+
Chidanand Charitable Trust Dombivali Blood Bank,"Siddhi Hospital, Bajiprabhu Chowk, Dombivali (East) ",0251 284393,YES,AB+
Seva Blood Bank,"Pushpadev Apartment, Basement, Opposite to Manav Kalyan Kendra, Near Sarvesh Hall, Dombivali ",0251 2442283,,AB+
Chhatrapati Shivaji Maharaj Hospital Blood Bank,"Thane Belapur Road, Kalwa, Thane","022 25347784, 022 25347785, 022 25347786,  022 25372777, 022 25347791",NO,AB+
Navi Mumbai Municipal Corporation Blood Bank,"General Hospital Vashi, Near Saint Mary Church, Sector-10, Vashi, Navi Mumbai","022 27888750, 022 27899906",YES,AB+
Lokmanya TSSIA Blood Bank Thane,"Tssia House, Road No. P 26/T, Road-16, Next to Thane Janata Sahakari Bank, Behind the Petrol Pump, Wagle Estate, Thane (W)",,YES,AB+
M/s. Sadgurus Charitable Blood Bank,Thane,,,AB+
M/s. Triumph Foundations Triumph Blood Bank,Thane,,,AB+
Terna Blood Bank ,Thane,,,AB+
"District - Civil Surgeon, General Hospital Blood Bank Wardha","New Building, OPD 1st Floor General Hospital, Dr. Ambedkar Road, Near Jilha Parisad, Wardha","07152 245249, 07152 250624",YES,AB+
Kasturba Health Society Blood Bank,"Sevagram, Department of Pathology, MGIMS and Kasturba Hospital,  Sevagram, Wardha","07152 284108, 07152 284333",YES,AB+
Jawaharlal Nehru Medical College Blood Bank,"Savangi (Meghe), Paloti Road, Wardha","07152 287877, 07152 287701, 07152 287706, 07152 287714, 07152 287711",YES,AB+
"Civil Surgeon, General Hospital Blood Bank Washim","General Hospital Blood Bank, Near Akola Naka,  Washim ","07252 233066, 07252 233379",YES,AB+
Sau Kantadevi Dale Blood Bank,"Maa Ganga Memorial Baheti Hospital, Akola Naka, Washim ","07252 234343, 07252 235606",YES,AB+
Shri Vasantrao Naik Blood Bank ,"Government Medical College and Hospital, Yavatmal",07232 242456,NO,AB+
Laxmi Blood Bank,"Chiddarwar Hospital, Motinagar, Pusad, Yavatmal","07233 246775, 07233 246535, 07233 246535    ",NO,AB+
Satyashanti Blood Bank,"2nd Floor, Satyashanti Hospital, Opposite to Bus Stand, Pusad","07233 248095, 07233 246095 ",NO,AB+
Aishwarya Blood Bank,"Survey No.3/2, Godhani Road, Gurunanak Nagar, Near Amolakshand College, Mouza, Umarsara, Yavatmal","07232 252500, 07232 242340         ",NO,AB+
Shri Gajanan Blood Bank And Components,"Property No: 71, Road No.9, 2nd Floor, Bajaj Satkar Bhavan, Yavatmal (m.s) ",07232 242985,YES,AB+
Ekneel Blood Bank,"Near City Centre, Datta Chowk",07232 250111,YES,AB+
District Hospital Blood Bank ,"Churachandpur District Hospital, IB Road, Hiangtam Lamka",387423396,NO,AB+
JNIMS Hospital Blood Bank and Transfusion Unit ,"JNIMS Hospital, 
Ryang Palli Road, Near TV Road
Porompat, Imphal East","0385 2443142, 0385 2443144",NO,AB+
Model Blood Bank - Department of IHBT,"RIIMS, Lamphalphelpat, Lamphel Road, Imphal",0385 2411434,YES,AB+
Shija Blood Bank and Transfusion Services   ,"Shija Hospital and Research Institute, Meitei Langol, Lamphelpat, Imphal",0385 2055584,YES,AB+
District Hospital Blood Bank and Transfusion Unit,"District Hospital, Khangbok, Maning Leikai, Manipur",0384 8222214,NO,AB+
Military Hospital Blood Bank,"Military Hospital, Rilbong, Shillong","0364 2224300, 0364 2224302",NO,AB+
Nazareth Hospital Blood Bank ,"Nazareth Hospital, Laitumkhrah, Shillong ",0364 2224052,NO,AB+
" Regional Blood Bank, East Khasi Hills - Pasteur Institute","Pasteur Institute, Pasteur Hill, Lawmali",0364 2591629,YES,AB+
North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences Blood Bank,"North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences , Mawdiangdiang, Shillong",0364 2538063,YES,AB+
